product_title,product_size,product_min_price
Ferrero Rocher 1.3oz,1.3oz,2.49
Hiland 2% 1 gallon,1gal,5.49
Prairie Farms Fat Free Half Gallon,1hgal,4.29
Alpenrose Sour Cream Pint,1pt,2.69
Hiland 2% Half Gallon,1hgal,3.79
Hiland Half & Half Pint,1pt,3.19
Hiland 2% Quart,1qt,2.89
Starbucks Frappucino Vanilla 9.5oz,9.5oz,2.99
Snickers Almond King Size 2 Count,2ct,2.49
Snickers Bites King Size 2.83oz,2.83oz,1.99
Starbucks Doubleshot Energy Coffee 15oz,15oz,3.59
Snickers King Size 3.29oz,3.29oz,2.49
Hershey's Cookie Layer Crunch 1.4oz,1.4oz,1.59
Lindor Chocolate Truffle .42oz,0.42oz,0.99
7-Select Iced Cappuccino Mocha 13.7oz,13.7oz,2.89
Maruchan Instant Lunch Hot & Spicy Chicken,2.25oz,1.29
Large Pizza - Cheese,1whole pizza,7.49
Rockstar Energy Drink 24oz,24oz,3.29
Breyers Natural Vanilla 48oz,48oz,7.49
Monster Energy Loca Moca Coffee 4 pack 11oz,"4pk,11oz",7.49
Talenti Sicilian Pistachio Pint,1pt,0.99
Creamland Sour Cream 1 Pint,1pt,4.29
Reese's Dipped Pretzels 4.25oz,4.25oz,3.39
Haagen Dazs Vanilla Almond Bar,1ct,3.29
Alpenrose Half & Half Pint,1pt,1.99
Alpenrose Heavy Whipping Cream Pint,1pt,3.69
Shamrock Strawberry Milkshake Quart,1qt,3.89
Hiland Vitamin D Half Gallon,1hgal,3.79
Gerber Good Start Soy Concenctrate 12.1oz,12.1oz,5.99
Magnum Caramel Bar 3.38oz,3.38oz,3.29
Starbucks Frappuccino Mocha 13.7oz,13.7oz,3.69
Demet Turtles Bar 1.76oz,1.76oz,2.19
M&Ms Caramel Sharing Size 2.83oz,2.83oz,2.49
Hershey's Cookie Layer Crunch Triple Chocolate King Size 2.1oz,2.1oz,1.99
Breyers Natural Vanilla Pint,1pt,4.79
El Mexicano Saborico Yogurt Drink Pina Colada 7oz,7oz,1.59
Snickers Creamy Peanut Butter Squares 2.8oz,2.8oz,2.19
Kellogg's Frosted Flakes Cereal Cup 2.1oz,2.1oz,1.99
Rockstar Boom Strawberry 16oz,16oz,2.49
So Delicious Dairy-Free Cookie Dough 1 Pint,1pt,7.79
M&M's Plain 5.3oz,5.3oz,2.79
Hiland 2% Pint,1pt,1.99
Hiland Strawberry Pint,1pt,2.19
Whatchamacallit King Size 2.67oz,2.67oz,2.49
Silk Almond Dark Chocolate 10oz,10oz,2.69
Hiland Vitamin-D 1 Gallon,1gal,5.49
Prairie Farms Fat Free Gallon,1gal,5.39
Alpenrose Half & Half Quart,1qt,3.49
Hiland Vitamin D Quart,1qt,2.89
Large Pizza - Cheese,1whole pizza,0.99
Edys Rocky Road 1.5 Quart,1.5qt,6.99
7-Select Peanut Butter & Jelly 1.41oz,1.41oz,1.29
KIND Smoothie Bowl Almond & Chocolate Banana 6oz,1ct,4.99
Starbucks Frappuccino Coffee 13.7oz,13.7oz,3.69
Whoppers 5oz,5oz,1.69
Large Pizza - Pepperoni,1whole pizza,0.99
HERSHEY'S Dipped Pretzels 4.25oz,4.25oz,3.39
Snickers Almond 1.76oz,1.76oz,1.99
Whatchamacallit 1.6oz,1.6oz,1.99
Snickers Creamy Almond Butter Squares 2.8oz,2.8oz,2.19
Rockin' Refuel Muscle Builder Chocolate 12oz,12oz,2.99
Peets Iced Espresso Black & White 8oz,8oz,3.29
Reeses Peanut Butter Cups Thins 3.1oz,3.1oz,3.09
Nestle Crunch 1.55oz,1.55oz,1.99
Reese's Take 5 Candy Bar 1.5oz,1.5oz,1.99
Rockstar Energy Original 16oz,16oz,2.49
7-Select Chocolate Covered Animal Crackers 2oz,2oz,1.29
Hersheys Snack Mix Tube 2oz,2oz,1.99
Mr Goodbar 1.75oz,1.75oz,1.99
Large Pizza - 7 Meat,1whole pizza,8.49
Gerber Good Start Soy Ready To Feed 8.45oz,8.45oz,8.99
Betty Crocker Blueberry Muffin Mix 6.5oz,6.5oz,1.79
Meadow Gold All Natural Sour Cream 8oz,8oz,4.19
Borden Skim Fat Free Quart,1qt,2.89
Bison Sour Cream Regular 16oz,16oz,4.09
Hershey with Reese's Pieces King Size 2.55oz,2.55oz,2.19
M&M Almond Sharing Size 2.83oz,2.83oz,2.49
Large Whole Pizza - Pepperoni,1whole pizza,0.99
Starbucks Frappuccino Mocha 4 pack 9.5oz,4pk9.5oz,2.99
M&M Plain 1.69oz,1.69oz,1.99
Mmmpanadas Soy Chorizo 5.11oz,5.11oz,4.99
Entenmann's Original Recipe Chocolate Chip Cookies 4oz,4oz,1.49
Chameleon Cold Brew Cinnamon Dulce 11oz,11oz,2.99
Hostess BOOST Jumbo Donette Caramel Macchiato Boost 2.5oz,2.5oz,2.29
Hershey’s Almond King Size 2.6oz,2.6oz,2.49
KitKat Mini Pouch 8.24oz,8.24oz,4.49
Mr Goodbar King Size 2.6oz,2.6oz,2.49
7-Select Chocolate Drizzled Pretzel 5oz,5oz,2.99
Naked Smoothie Pina Colada 15.2oz,15.2oz,3.99
Fast Break King Size 3.5oz,3.5oz,2.49
Starbucks Frappuccino Caramel 13.7oz,13.7oz,3.69
Ocean Spray Craisin Chocolate Covered 5oz,5oz,3.49
Kinder Bueno Crispy Creamy Chocolate Bar 1.5oz,1.5oz,1.99
Large Whole Pizza - Cheese,1whole pizza,0.99
Haagen Dazs Triple Chocolate 14oz,1pt,0.99
Hiland Chocolate Premium Pint,1pt,2.19
Edys Cookies N Cream 1.5 Quart,1.5qt,6.99
Turner's Chocolate Whole Half Gallon,1hg,3.79
Upstate Farms Ultra Pastuerized Half & Half Quart,1hgal,4.59
Jeni's Ice Cream Honey Vanilla Bean,3.6oz,3.69
Magnum Chocolate Vanilla Pint,1pt,6.49
Nesquik Chocolate Powder 9.3oz,9.3oz,3.99
Prairie Farms 2% 14oz,14oz,2.29
Jeni's Ice Cream Salty Caramel,3.6oz,3.69
Jeni's Ice Cream Salty Caramel,16oz,10.49
Hershey Almond 1.45oz,1.45oz,1.99
Cadbury Caramello 1.6oz,1.6oz,1.99
Silk Pure Almond Original Half Gallon,64oz,4.19
Happy Baby Organics Stage 1 Infant Formula with Iron 21oz,21oz,35.99
Milky Way Fudge Share Size 2 Bars 3oz,3oz,2.49
